 ,B,C,D,E,F,G,H,I,J,K,L,M
123,1,1,1,1,5,3,4,3,4,5,3,5
124,0,1,1,1,4,4,3,3,3,2,3,4
125,0,0,0,1,4,4,3,3,4,5,5,4
126,0,0,0,1,4,4,4,3,2,3,2,4
127,0,1,1,1,4,4,4,3,3,3,2,4
128,0,1,1,1,4,2,2,1,1,5,5,1
129,0,0,1,0,2,1,1,3,3,2,1,1
130,0,0,0,1,3,3,3,4,1,1,1,3
131,0,1,1,1,4,3,4,4,4,4,4,4
132,0,1,1,1,4,4,3,3,5,4,4,4
133,0,0,0,1,5,5,3,3,5,5,5,5
134,0,0,0,1,4,4,4,4,4,4,4,4
135,0,1,1,1,4,4,4,3,3,5,5,4
136,0,1,1,1,5,5,5,5,5,2,5,5
137,1,1,1,1,5,5,5,2,2,4,5,5
138,1,1,1,1,5,4,3,5,5,5,5,5
139,0,1,1,1,5,5,5,4,4,3,4,5
140,0,0,0,1,4,4,4,3,2,1,3,4
141,0,1,1,1,3,3,3,5,5,4,3,4
142,1,0,0,1,1,1,1,1,1,1,1,1
143,0,1,1,1,4,3,3,3,4,2,3,4
144,0,1,1,1,4,4,4,2,2,2,3,4
145,0,1,0,1,3,4,4,3,3,1,2,3
146,0,1,1,1,4,4,4,2,3,3,3,3
147,0,1,1,1,4,4,3,3,5,4,4,4
148,0,0,0,1,4,3,4,3,4,2,4,4
149,0,1,1,0,4,4,5,5,5,4,4,4
150,0,0,0,0,3,2,3,3,3,2,4,3
151,0,1,0,0,2,2,4,2,2,4,3,2
152,0,0,0,1,4,5,4,5,5,5,4,5
153,1,1,1,1,5,4,3,3,2,3,5,4
